invoice_id,customer_id,order_date,product_id,quantity,unit_price,revenue
INV-13278,C0164,2025-01-29,P008,1,570.92,570.92
INV-39256,C0071,2023-05-23,P016,2,363.21,726.42
INV-81482,C0027,2023-03-31,P044,1,102.04,102.04
INV-14165,C0152,2023-01-31,P028,1,521.04,521.04
INV-40495,C0024,2024-06-01,P014,1,427.76,427.76
INV-83563,C0155,2023-07-23,P002,1,582.25,582.25
INV-81426,C0167,2024-03-05,P045,3,135.28,405.84000000000003
INV-87236,C0057,2023-10-12,P029,1,118.21,118.21
INV-30926,C0002,2024-12-15,P049,1,319.61,319.61
INV-46421,C0109,2023-06-09,P022,1,181.83,181.83
INV-54118,C0056,2023-04-15,P049,1,92.3,92.3
INV-22676,C0024,2024-01-03,P025,1,226.15,226.15
INV-44671,C0089,2025-04-06,P039,1,473.25,473.25
INV-70217,C0012,2024-07-03,P047,1,313.4,313.4
INV-20328,C0032,2024-07-19,P025,1,37.41,37.41
INV-91070,C0076,2025-06-25,P041,1,110.61,110.61
INV-35203,C0093,2024-12-22,P037,1,569.84,569.84
INV-96673,C0018,2023-08-22,P003,6,486.95,2921.7
INV-40512,C0075,2025-06-06,P006,1,67.63,67.63
INV-46434,C0026,2024-04-09,P025,2,269.69,539.38
INV-31319,C0163,2024-01-15,P024,1,302.15,302.15
INV-97841,C0091,2023-10-01,P014,1,546.5,546.5
INV-94939,C0180,2023-03-15,P044,1,400.89,400.89
INV-32431,C0156,2024-06-30,P041,1,316.84,316.84
INV-70589,C0063,2024-01-24,P011,1,119.06,119.06
INV-83000,C0070,2023-08-13,P041,6,467.33,2803.98
INV-17331,C0176,2023-08-23,P021,5,537.95,2689.75
INV-62581,C0009,2023-10-02,P021,1,553.91,553.91
INV-84341,C0017,2025-06-16,P014,1,125.63,125.63
INV-95909,C0081,2024-05-26,P014,1,201.94,201.94
INV-70142,C0102,2023-05-27,P042,1,170.1,170.1
INV-42325,C0068,2025-02-01,P009,3,220.48,661.4399999999999
INV-44438,C0144,2025-02-03,P035,1,330.19,330.19
